"artist_name","track_name","album_name","danceability","lyric"
"Taylor Swift","illicit affairs","folklore",0.559,"That you picked out just for him"
"Taylor Swift","illicit affairs","folklore",0.559,"So you leave no trace behind"
"Taylor Swift","illicit affairs","folklore",0.559,"Like you don't even exist"
"Taylor Swift","illicit affairs","folklore",0.559,"Take the words for what they are"
"Taylor Swift","illicit affairs","folklore",0.559,"A dwindling, mercurial high"
"Taylor Swift","illicit affairs","folklore",0.559,"A drug that only worked"
"Taylor Swift","illicit affairs","folklore",0.559,"The first few hundred times"
"Taylor Swift","illicit affairs","folklore",0.559,"And that's the thing about illicit affairs"
"Taylor Swift","illicit affairs","folklore",0.559,"And clandestine meetings and stolen stares"
"Taylor Swift","illicit affairs","folklore",0.559,"They show their truth one single time"
"Taylor Swift","illicit affairs","folklore",0.559,"But they lie and they lie and they lie"
"Taylor Swift","illicit affairs","folklore",0.559,"A million little times"
"Taylor Swift","illicit affairs","folklore",0.559,"And you wanna scream"
"Taylor Swift","illicit affairs","folklore",0.559,"Don't call me ""kid,"" don't call me ""baby""Look at this godforsaken mess that you made me"
"Taylor Swift","illicit affairs","folklore",0.559,"You showed me colors you know I can't see with anyone else"
"Taylor Swift","illicit affairs","folklore",0.559,"Don't call me ""kid,"" don't call me ""baby"""
"Taylor Swift","illicit affairs","folklore",0.559,"Look at this idiotic fool that you made me"
"Taylor Swift","illicit affairs","folklore",0.559,"You taught me a secret language I can't speak with anyone else"
"Taylor Swift","illicit affairs","folklore",0.559,"And you know damn well"
"Taylor Swift","illicit affairs","folklore",0.559,"For you, I would ruin myself"
"Taylor Swift","illicit affairs","folklore",0.559,"A million little times"
"Taylor Swift","invisible string","folklore",0.653,"Green was the color of the grass"
"Taylor Swift","invisible string","folklore",0.653,"Where I used to read at Centennial Park"
"Taylor Swift","invisible string","folklore",0.653,"I used to think I would meet somebody there"
"Taylor Swift","invisible string","folklore",0.653,"Teal was the color of your shirt"
"Taylor Swift","invisible string","folklore",0.653,"When you were sixteen at the yogurt shop"
"Taylor Swift","invisible string","folklore",0.653,"You used to work at to make a little money"
"Taylor Swift","invisible string","folklore",0.653,"Time, curious time"
