"Program","Network","Rank","Rating","Year"
"CBS Sunday Movie","CBS",29,8.6,2000
"CSI: Crime Scene Investigation","CBS",2,14.5,2001
"Everybody Loves Raymond","CBS",4,12.8,2001
"Survivor","CBS",6,11.8,2001
"Becker","CBS",11,10.7,2001
"60 Minutes","CBS",13,10.1,2001
"JAG","CBS",14,9.9,2001
"Judging Amy","CBS",16,9.8,2001
"The King of Queens","CBS",19,8.9,2001
"Yes, Dear","CBS",20,8.8,2001
"The Guardian","CBS",22,8.4,2001
"Baby Bob","CBS",25,8.1,2001
"60 Minutes II","CBS",30,7.7,2001
"Family Law","CBS",30,7.7,2001
"CSI: Crime Scene Investigation","CBS",1,16.3,2002
"Survivor (Thailand & Amazon)","CBS",7,11.9,2002
"Everybody Loves Raymond","CBS",7,11.9,2002
"CSI: Miami","CBS",11,11,2002
"Without a Trace","CBS",15,10,2002
"60 Minutes","CBS",17,9.6,2002
"Judging Amy","CBS",18,9.5,2002
"Still Standing","CBS",19,9.4,2002
"JAG","CBS",22,8.9,2002
"Yes, Dear","CBS",24,8.6,2002
"The King of Queens","CBS",25,8.5,2002
"The Guardian","CBS",27,8.3,2002
"My Big Fat Greek Life","CBS",28,8,2002
"CSI: Crime Scene Investigation","CBS",1,15.9,2003
"Survivor","CBS",7,12.3,2003
"CSI: Miami","CBS",8,11.9,2003
"Everybody Loves Raymond","CBS",9,11.2,2003
"Without a Trace","CBS",11,11.1,2003
"Two and a Half Men","CBS",14,9.9,2003
"60 Minutes","CBS",16,9.4,2003
"Cold Case","CBS",17,9.3,2003
"CBS Sunday Movie","CBS",23,7.8,2003
"Navy: NCIS","CBS",23,7.8,2003
"Judging Amy","CBS",26,7.7,2003
"Still Standing","CBS",26,7.7,2003
"The King of Queens","CBS",30,7.3,2003
"CSI: Crime Scene Investigation","CBS",1,16.5,2004
"CSI: Miami","CBS",5,12.4,2004
"Without a Trace","CBS",6,12.3,2004
"Survivor","CBS",7,12,2004
"Everybody Loves Raymond","CBS",9,11.2,2004
"Two and a Half Men","CBS",11,10.6,2004
"Cold Case","CBS",14,9.7,2004
"60 Minutes","CBS",16,9.2,2004
"CSI: NY","CBS",20,8.9,2004
"NCIS","CBS",22,8.8,2004
"CBS Sunday Movie","CBS",27,7.6,2004
"The Amazing Race","CBS",27,7.6,2004
"Judging Amy","CBS",29,7.4,2004
"CSI: Crime Scene Investigation","CBS",3,15.6,2005
"Without a Trace","CBS",6,12.3,2005
"CSI: Miami","CBS",8,11.8,2005
"Survivor","CBS",11,10.3,2005
"NCIS","CBS",12,9.8,2005
"Two and a Half Men","CBS",13,9.7,2005
"The Unit","CBS",13,9.7,2005
"Cold Case","CBS",17,9.3,2005
"CSI: NY","CBS",18,9.2,2005
"60 Minutes","CBS",21,9,2005
"The New Adventures of Old Christine","CBS",25,8.3,2005
"Criminal Minds","CBS",27,8.2,2005
"Out of Practice","CBS",30,7.8,2005
"CSI: Crime Scene Investigation","CBS",6,12.2,2006
"CSI: Miami","CBS",10,10.7,2006
"Without a Trace","CBS",12,9.4,2006
"Two and a Half Men","CBS",14,9.1,2006
"NCIS","CBS",15,9,2006
"CSI: NY","CBS",16,8.9,2006
"Cold Case","CBS",16,8.9,2006
"Criminal Minds","CBS",18,8.8,2006
"Survivor","CBS",18,8.8,2006
"60 Minutes","CBS",20,8.7,2006
"Shark","CBS",20,8.7,2006
"Rules of Engagement","CBS",25,7.8,2006
"The King of Queens","CBS",30,7.3,2006
"CSI: Crime Scene Investigation","CBS",7,10.6,2007
"CSI: Miami","CBS",11,9.2,2007
"NCIS","CBS",11,9.2,2007
"Without a Trace","CBS",13,8.8,2007
"The Moment of Truth","CBS",13,8.8,2007
"Two and a Half Men","CBS",15,8.5,2007
"Survivor","CBS",15,8.5,2007
"60 Minutes","CBS",17,8.4,2007
"Criminal Minds","CBS",18,8.2,2007
"Cold Case","CBS",28,7.1,2007
"Shark","CBS",30,7,2007
"The Unit","CBS",30,7,2007
"CSI: Crime Scene Investigation","CBS",4,11.5,2008
"NCIS","CBS",5,10.9,2008
"The Mentalist","CBS",6,10.8,2008
"Criminal Minds","CBS",11,9.4,2008
"Two and a Half Men","CBS",12,9.1,2008
"CSI: Miami","CBS",12,9.1,2008
"60 Minutes","CBS",14,8.9,2008
"CSI: NY","CBS",15,8.6,2008
"Without a Trace","CBS",16,8.4,2008
"Survivor","CBS",18,7.8,2008
"Eleventh Hour","CBS",18,7.8,2008
"Cold Case","CBS",20,7.5,2008
"Rules of Engagement","CBS",24,7.1,2008
"Ghost Whisperer","CBS",29,6.6,2008
"NUMB3RS","CBS",29,6.6,2008
"NCIS","CBS",4,11.5,2009
"The Mentalist","CBS",6,10.6,2009
"NCIS: Los Angeles","CBS",8,9.8,2009
"Undercover Boss","CBS",8,9.8,2009
"CSI: Crime Scene Investigation","CBS",10,9.7,2009
"Two and a Half Men","CBS",12,8.9,2009
"The Big Bang Theory","CBS",14,8.5,2009
"Criminal Minds","CBS",14,8.5,2009
"The Good Wife","CBS",14,8.5,2009
"60 Minutes","CBS",17,8.4,2009
"CSI: Miami","CBS",18,8.1,2009
"CSI: NY","CBS",19,7.9,2009
"Survivor","CBS",19,7.9,2009
"The Amazing Race","CBS",26,6.6,2009
"Cold Case","CBS",29,6.3,2009
"NCIS","CBS",5,11.8,2010
"NCIS: Los Angeles","CBS",7,10.1,2010
"The Mentalist","CBS",8,9.6,2010
"Criminal Minds","CBS",10,8.7,2010
"The Good Wife","CBS",11,8.5,2010
"60 Minutes","CBS",12,8.4,2010
"CSI: Crime Scene Investigation","CBS",12,8.4,2010
"The Big Bang Theory","CBS",14,8,2010
"Blue Bloods","CBS",14,8,2010
"Two and a Half Men","CBS",16,7.7,2010
"Hawaii Five-0","CBS",17,7.5,2010
"Survivor","CBS",21,7.4,2010
"CSI: Miami","CBS",22,7.3,2010
"Undercover Boss","CBS",25,7.1,2010
"Criminal Minds: Suspect Behavior","CBS",29,6.9,2010
"Mike & Molly","CBS",29,6.9,2010
"NCIS","CBS",2,12.3,2011
"NCIS: Los Angeles","CBS",7,10.2,2011
"The Big Bang Theory","CBS",8,9.7,2011
"The Mentalist","CBS",9,9.3,2011
"Two and a Half Men","CBS",11,9.1,2011
"Person of Interest","CBS",12,9,2011
"Criminal Minds","CBS",13,8.6,2011
"60 Minutes","CBS",14,8.3,2011
